created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-05-27T20:50:16+05:30,239,27,64,958,718,,,,
2022-05-27T20:51:31+05:30,240,27,64,962,721,,,,
2022-05-27T20:53:00+05:30,241,27,64,962,722,,,,
2022-05-27T20:55:11+05:30,242,27,64,965,723,,,,
2022-05-27T20:57:49+05:30,243,27,64,976,736,,,,
2022-05-27T20:58:51+05:30,244,27,65,962,687,,,,
2022-05-27T21:04:32+05:30,245,27,65,975,692,,,,
2022-05-27T21:04:51+05:30,246,27,65,911,723,,,,
2022-05-27T21:05:29+05:30,247,27,64,963,721,,,,
2022-05-27T21:05:49+05:30,248,27,64,962,721,,,,
2022-05-27T21:06:08+05:30,249,27,64,961,719,,,,
2022-05-27T21:07:28+05:30,250,27,64,961,720,,,,
2022-05-27T21:11:11+05:30,251,27,64,962,722,,,,
2022-05-27T21:12:24+05:30,252,27,64,963,725,,,,
2022-05-27T21:14:10+05:30,253,27,64,962,721,,,,
2022-05-27T21:14:29+05:30,254,27,64,964,721,,,,
2022-05-27T21:18:41+05:30,255,27,65,952,716,,,,
2022-05-27T21:21:06+05:30,256,27,65,960,719,,,,
2022-05-27T21:21:31+05:30,257,27,65,959,719,,,,
2022-05-27T21:22:05+05:30,258,27,65,912,718,,,,
2022-05-27T21:22:52+05:30,259,27,65,960,718,,,,
2022-05-27T21:25:05+05:30,260,27,65,960,719,,,,
2022-05-27T21:25:39+05:30,261,27,65,959,719,,,,
2022-05-27T21:27:05+05:30,262,27,65,959,720,,,,
2022-05-27T21:28:19+05:30,263,27,65,962,718,,,,
2022-05-27T21:30:55+05:30,264,27,66,960,722,,,,
2022-05-27T21:31:14+05:30,265,27,66,962,722,,,,
2022-05-27T21:32:24+05:30,266,27,66,962,720,,,,
2022-05-27T21:34:49+05:30,267,27,66,964,721,,,,
2022-05-27T21:35:09+05:30,268,27,66,962,721,,,,
2022-05-27T21:37:21+05:30,269,27,66,963,716,,,,
2022-05-27T21:38:09+05:30,270,27,66,962,722,,,,
2022-05-27T21:38:33+05:30,271,27,66,960,720,,,,
2022-05-27T21:39:21+05:30,272,27,66,963,722,,,,
2022-05-27T21:40:09+05:30,273,27,66,961,720,,,,
2022-05-27T21:43:56+05:30,274,27,67,968,725,,,,
2022-05-27T21:44:27+05:30,275,27,67,967,724,,,,
2022-05-27T21:48:09+05:30,276,27,68,967,724,,,,
2022-05-27T21:49:10+05:30,277,27,68,964,723,,,,
2022-05-27T21:51:22+05:30,278,27,68,963,722,,,,
2022-05-27T21:53:47+05:30,279,27,68,963,722,,,,
2022-05-27T21:54:20+05:30,280,27,68,965,723,,,,
2022-05-27T21:54:53+05:30,281,27,68,964,722,,,,
